,recid,date,age,allocated_trmt,earnings,prev_earnings,education,y0hat,y1hat,ite,ite_ols,reward,reward_scaled,year,month,cost,cost_scaled,age_scaled,education_scaled,prev_earnings_scaled
0,300001,1989-05-16,46.0,1,1353,0,12,10501.320485449876,11074.851378182091,-14046.497683979578,573.5308927322149,-14820.497683979578,-0.4499614811633501,1989,5,1257.0,0.0007245724359733326,1.3276057263334187,0.20761252152293314,-0.7581218933423898
1,300002,1989-08-30,24.0,1,4984,3591,11,15799.248553997772,17459.858431896108,-17100.981890791994,1660.609877898336,-17874.981890791994,-0.5426979241083838,1989,8,1257.0,0.0007245724359733326,-0.9529300590680654,-0.32650471306730694,0.08406273105268437
2,300006,1988-08-18,34.0,1,27707,0,12,11387.031017062298,12280.669362470038,24092.24383537005,893.6383454077404,23318.24383537005,0.7079594597982412,1988,8,1257.0,0.0007245724359733326,0.0836771161144274,0.20761252152293314,-0.7581218933423898
3,300008,1989-03-08,31.0,1,31860,9476,10,21962.34458822009,24051.854950425917,13831.646640083174,2089.510362205827,13057.646640083174,0.39643999465892454,1989,3,1895.2,0.0010924500243887508,-0.22730503644032043,-0.860621947657547,1.4642511227444168
4,300010,1988-11-16,22.0,0,26615,9600,9,21746.76262616317,24362.2163802347,-11915.210743953416,2615.4537540715282,-12689.210743953416,-0.38525400313075225,1988,11,1920.0,0.0011067454869282407,-1.1602514941045639,-1.394739182247787,1.4933324074631553
5,300012,1988-04-26,22.0,1,48541,200,12,12534.784712034596,13758.672851635132,53530.65534804163,1223.8881396005363,52756.65534804163,1.6017318235736178,1988,4,1257.0,0.0007245724359733326,-1.1602514941045639,0.20761252152293314,-0.711216595408941
6,300013,1988-10-11,36.0,1,3240,10000,13,25372.430333988814,26617.333169665955,-33910.672547304945,1244.9028356771414,-34684.672547304945,-1.053052803342864,1988,10,2000.0,0.0011528598822169174,0.29099855115092593,0.7417297561131732,1.5871430033300529
7,300014,1988-08-25,41.0,1,8385,0,12,10870.366540288385,11577.02282960201,-4093.60892467942,706.6562893136252,-4867.60892467942,-0.14778427608677813,1988,8,1257.0,0.0007245724359733326,0.8093021387421724,0.20761252152293314,-0.7581218933423898
8,300015,1989-02-06,24.0,1,4036,10339,12,25671.44445662811,27524.713167697406,-33469.80344703818,1853.2687110692968,-34243.80344703818,-1.0396676851379862,1989,2,2067.8,0.0011919418322240709,-0.9529300590680654,0.20761252152293314,1.6666474833272487
9,300016,1988-07-27,26.0,1,16419,5000,12,18528.58378880081,19967.676188265985,-3897.519451892591,1439.0923994651748,-4671.519451892591,-0.1418308518835492,1988,7,1257.0,0.0007245724359733326,-0.7456086240315668,0.20761252152293314,0.41451055499383155
10,300019,1988-12-15,27.0,1,22221,150,12,12100.227866356117,13197.061351623539,14667.318754136833,1096.8334852674216,13893.318754136833,0.421811629959199,1988,12,1257.0,0.0007245724359733326,-0.6419479065133176,0.20761252152293314,-0.7229429198923032
11,300022,1988-07-14,35.0,1,1933,1671,8,9379.15415249388,11378.922701436233,-12205.309728466156,1999.768548942353,-12979.309728466156,-0.39406162697299596,1988,7,1257.0,0.0007245724359733326,0.18733783363267667,-1.928856416838027,-0.3662281291084246
12,300025,1988-01-20,49.0,0,19541,0,12,10266.762224855702,10765.507421009745,-27182.90367121031,498.7451961540428,-27956.90367121031,-0.8487926689693363,1988,1,1257.0,0.0007245724359733326,1.6385878788881665,0.20761252152293314,-0.7581218933423898
13,300026,1989-01-31,40.0,1,25766,1569,12,12999.904367814315,13830.033939473597,18779.814061506833,830.1295716592813,18005.814061506833,0.5466700874306925,1989,1,1257.0,0.0007245724359733326,0.705641421223923,0.20761252152293314,-0.39014983105448353
14,300027,1988-12-09,23.0,1,9879,11400,12,27135.392649219953,29084.30942032035,-26932.636919363424,1948.9167711003975,-27706.636919363424,-0.8411943817357912,1988,12,2280.0,0.0013142602657272857,-1.0565907765863147,0.20761252152293314,1.915480088864195
15,300028,1988-08-01,34.0,0,25199,5000,13,18965.60450575163,19933.486726411116,-17637.492097609997,967.882220659485,-18411.492097609997,-0.5589867784010462,1988,8,1257.0,0.0007245724359733326,0.0836771161144274,0.7417297561131732,0.41451055499383155
16,300030,1988-06-03,22.0,0,24765,3412,17,21887.67188770385,22075.0783514675,-8400.812688245212,187.40646376364748,-9174.812688245212,-0.27855422905680627,1988,6,1257.0,0.0007245724359733326,-1.1602514941045639,2.8781986944741336,0.042082489402247646
17,300032,1989-03-16,31.0,1,29780,8000,14,24151.904326096686,25134.651408649508,7968.569691068326,982.7470825528217,7194.569691068326,0.2184325589838614,1989,3,1600.0,0.0009222879057735338,-0.22730503644032043,1.2758469907034133,1.1180900239955645
18,300033,1989-07-26,28.0,0,18888,12300,12,27962.706980907766,29796.50922419689,28919.893662354596,1833.802243289123,28145.893662354596,0.8545305475584105,1989,7,2460.0,0.0014180176551268082,-0.5382871889950683,0.20761252152293314,2.126553929564715
19,300035,1989-03-06,29.0,1,33390,7751,12,21911.5598679128,23439.72869536971,16491.702537322417,1528.1688274569096,15717.702537322417,0.47720129681093687,1989,3,1550.2,0.0008935816947063327,-0.434626471476819,0.20761252152293314,1.0596929280684206
20,300037,1988-06-13,26.0,0,12537,600,11,11732.248746518591,13142.584263171522,-991.6776907448138,1410.335516652931,-1765.6776907448138,-0.05360730563342901,1988,6,1257.0,0.0007245724359733326,-0.7456086240315668,-0.32650471306730694,-0.6174059995420432
21,300039,1988-11-04,28.0,0,48254,6634,12,20504.521597389976,22009.697087356784,-81321.18027290446,1505.1754899668085,-82095.18027290446,-2.492471555250049,1988,11,1326.8,0.0007648072458627029,-0.5382871889950683,0.20761252152293314,0.7977268391101087
22,300040,1989-01-27,33.0,0,23686,0,10,9389.214924344558,10831.851834829858,-41230.259126009885,1442.6369104853002,-42004.259126009885,-1.2752809692713027,1989,1,1257.0,0.0007245724359733326,-0.019983601403821886,-0.860621947657547,-0.7581218933423898
23,300048,1989-04-05,33.0,0,10112,500,12,12116.946246632519,13073.269665109236,6940.666212228081,956.323418476717,6166.666212228081,0.18722463454743163,1989,4,1257.0,0.0007245724359733326,-0.019983601403821886,0.20761252152293314,-0.6408586485087677
24,300052,1988-09-08,29.0,0,33570,8460,12,22831.15107955376,24417.889910592676,-30466.466215328608,1586.7388310389142,-31240.466215328608,-0.9484841029109282,1988,9,1692.0,0.0009753194603555121,-0.434626471476819,0.20761252152293314,1.2259722092424967
